Shipping_ID,Customer_ID,Order_ID,Shipping_Address,City,State,Country,Postal_Code
0,e0d6cb3c-c4b0-4cfe-8225-b65d094d2424,e32af09a-b6ab-497e-af3a-331e4d4ed6e7,"PSC 2224, Box 2284
APO AP 65880",Jordanborough,Arkansas,Kuwait,27879
1,fa3ca35a-5540-404b-a7eb-9001cdcbd840,86eb8859-14ab-4d4e-9267-c5826f4e0c8e,"83909 Johnson Mall
Tranberg, MS 99017",Lake Ginatown,Georgia,Saint Vincent and the Grenadines,39336
2,7ad4de53-e6d7-4cd3-99b8-13fb70fe7a34,7379b560-8897-4623-92a2-523ddcdc43a1,"82101 Johnson Flat
West Ryan, MS 29075",Sarahville,Ohio,France,30845
3,4b9b409c-19f2-41c0-bc7c-6556e0647ebb,30c57f86-2fed-43c0-a399-654c2c3bb18d,"4542 Gary Lane
South Alexander, VI 27671",Lake Michelle,Arkansas,Sao Tome and Principe,30955
4,81b513ad-5c02-48cf-bff0-39e1440c4d22,41c29d81-9622-43c1-b537-7cdb320d3e6a,"6794 Caroline Crescent
East Karlside, GU 81379",Olsenville,Mississippi,Croatia,45429
5,7f6608ca-b11e-497f-9421-34ee62f9e220,0b8915d7-0614-47c4-88be-25aae8fa477b,"PSC 0419, Box 9123
APO AP 47991",Priceville,South Dakota,Peru,96819
6,de08452f-8820-4b7e-a394-dba5520a9ce7,5f05f9e8-57c3-4610-bc41-3c2ccbe3e783,"9400 Angela Motorway
Joannaborough, OR 84735",West Peter,Nevada,Solomon Islands,82007
7,e1ef782d-6bd8-4880-ae57-f6638c7309fc,0abf28e1-7a76-47d5-9d66-2fe2ca920fda,"63672 Raymond Mill
Cobbview, SD 63353",East Kevin,Maine,Ireland,52315
8,df6652a7-8923-431c-b49b-f57138dc1130,73129f55-e6fd-45b1-a3ac-fef5fae85dd7,"859 Cohen Brook Apt. 295
Hardyfort, FM 49293",Crystalborough,New Jersey,Portugal,27390
9,ef9962f3-cfbe-470e-a6ad-d285dbbfa54b,17647c6b-d1cc-4c86-a1d1-b06641de1574,"1844 Amy Court
Cristinaport, FM 00824",Heathermouth,Nebraska,Australia,30613
10,2a5aa693-90a5-487d-bed5-709577862299,a16962fd-0ae2-45cd-bc79-bb5c8fc3c76c,"2263 Campbell Ville Apt. 134
North Theresa, MD 97457",New Garybury,Washington,Myanmar,58038
11,6c01445d-e4d3-4560-99ee-4a377d042353,444dee20-f3e7-4a46-94bf-86f28f3218db,"0489 Tony Burg Suite 682
Brentland, LA 95298",Christopherview,Kentucky,Korea,22744
12,ca0d091c-0d3d-4d01-a4c9-85f07e01f2f5,2bad61d7-1e00-4280-9c63-851860da9097,"676 Maurice Path
Lake Lisaborough, SD 06695",East Nathanielville,Maryland,Reunion,59258
13,3642f2c6-9513-4258-851a-1ca383020a5e,f4ca896e-9500-4cad-830b-1d4c264d2e17,"3861 Michael Dale Apt. 112
South Lindafort, MT 64927",Olsonchester,North Dakota,Bolivia,1711
14,d345f895-73fe-4d1f-9119-090e3e22cf40,7b10e89e-29e2-49df-951b-cb69f5d63fd7,"224 Santos Center Suite 540
West Matthewshire, AR 69104",North Janet,Vermont,Lebanon,25394
15,105dedd4-90ce-48ab-8993-d206ca55f9e4,596d5762-2de9-4c0f-aa7c-7e6eefefb2fb,"37424 Nancy Walk
North Tony, VI 98230",Smithville,West Virginia,Estonia,58925
16,e919ab84-fdc0-4e10-938d-56418db183ab,4e830cf0-ea4b-451d-b5ed-753db1dfe1fc,"6454 Christopher Drive
Wallacemouth, WA 90990",Lake Jasonville,Kentucky,Tunisia,31393
17,d6e4e518-cf57-443a-bd52-6e86fbcc566e,0e137c97-97a6-4818-848b-de4c93238bb7,"107 Richard Hill
South Georgechester, MH 31843",South Katherineburgh,Ohio,Wallis and Futuna,26992
